ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Minutes
673,Location 102 - Location 7,102,7,1,"2,212.533221429659100"
680,Location 103 - Location 3,103,3,1,655.681983581751520
687,Location 104 - Location 3,104,3,1,716.335685825090880
694,Location 106 - Location 1,106,1,1,759.319091203273500
701,Location 107 - Location 1,107,1,1,810.235377300656980
708,Location 108 - Location 1,108,1,1,786.630587227641400
715,Location 109 - Location 1,109,1,1,3.758947770578439
722,Location 110 - Location 1,110,1,1,3.922888521394981
729,Location 111 - Location 1,111,1,1,3.616093889295859
736,Location 112 - Location 1,112,1,1,3.219370258491479
743,Location 113 - Location 1,113,1,1,3.116347188210987
750,Location 114 - Location 1,114,1,1,3.545020244125115
757,Location 115 - Location 1,115,1,1,3.671099956970452
764,Location 116 - Location 1,116,1,1,4.104476127875183
771,Location 117 - Location 1,117,1,1,3.559825718169606
778,Location 118 - Location 1,118,1,1,3.129097031162750
785,Location 119 - Location 1,119,1,1,4.174379863520365
792,Location 120 - Location 1,120,1,1,3.328231696328089
799,Location 121 - Location 1,121,1,1,4.276567396440716
806,Location 122 - Location 1,122,1,1,3.077124864838884
813,Location 123 - Location 1,123,1,1,15.220265289483107
820,Location 124 - Location 1,124,1,1,11.294046066973179
827,Location 125 - Location 1,125,1,1,4.351411697457309
834,Location 126 - Location 1,126,1,1,5.454862242733714
841,Location 127 - Location 1,127,1,1,6.764975987613962
848,Location 128 - Location 1,128,1,1,8.797677613126561
855,Location 129 - Location 1,129,1,1,7.017545214754893
862,Location 130 - Location 1,130,1,1,7.188195078519534
869,Location 131 - Location 1,131,1,1,7.299427732684659
876,Location 132 - Location 1,132,1,1,8.297557509273334
883,Location 133 - Location 1,133,1,1,9.504376468832998
890,Location 134 - Location 1,134,1,1,7.952159101910535
897,Location 135 - Location 1,135,1,1,4.745353678011377
904,Location 136 - Location 1,136,1,1,2.731618526814662
911,Location 137 - Location 1,137,1,1,2.499787351292311
918,Location 138 - Location 1,138,1,1,4.591719286780830
925,Location 139 - Location 1,139,1,1,2.022876306086127
932,Location 140 - Location 1,140,1,1,6.276643284696823
939,Location 141 - Location 1,141,1,1,4.368106188761765
946,Location 142 - Location 1,142,1,1,5.248882732661667
953,Location 143 - Location 1,143,1,1,2.396796565590606
960,Location 144 - Location 1,144,1,1,1.833976525910267
967,Location 145 - Location 1,145,1,1,3.864395918032983
974,Location 146 - Location 1,146,1,1,3.762706118816116
981,Location 147 - Location 1,147,1,1,3.084751464295555
988,Location 148 - Location 1,148,1,1,3.585167571312935
995,Location 149 - Location 1,149,1,1,3.632330227162885
"1,002",Location 150 - Location 1,150,1,1,4.078064895387978
"1,009",Location 151 - Location 1,151,1,1,3.835846851081666
"1,016",Location 152 - Location 1,152,1,1,4.114964313680585
"1,023",Location 153 - Location 1,153,1,1,2.144031383595289
"1,030",Location 154 - Location 1,154,1,1,6.071762366412390
"1,037",Location 155 - Location 1,155,1,1,2.210328444045610
"1,044",Location 156 - Location 1,156,1,1,4.548960224686931
"1,051",Location 157 - Location 1,157,1,1,6.943642419264549
"1,058",Location 158 - Location 1,158,1,1,7.877427609529974
"1,065",Location 159 - Location 1,159,1,1,1.934794832811511
"1,072",Location 160 - Location 1,160,1,1,4.524881414535454
"1,079",Location 161 - Location 1,161,1,1,2.723585042965974
"1,086",Location 162 - Location 1,162,1,1,2.921942015878145
"1,093",Location 163 - Location 1,163,1,1,2.269966641781400
"1,100",Location 164 - Location 1,164,1,1,11.063288479378720
"1,107",Location 165 - Location 1,165,1,1,9.392479190395321
"1,114",Location 166 - Location 1,166,1,1,9.679615241393334
"1,121",Location 167 - Location 1,167,1,1,10.338767219564994
"1,128",Location 168 - Location 1,168,1,1,10.968151147795746
"1,135",Location 169 - Location 1,169,1,1,10.910099399366361
"1,142",Location 170 - Location 1,170,1,1,10.941713222699518
